epoch;acc;false_negatives;false_positives;kl;loss;precision;recall;true_negatives;true_positives;val_acc;val_false_negatives;val_false_positives;val_kl;val_loss;val_precision;val_recall;val_true_negatives;val_true_positives
0;0.5068632;5647.0;6065.0;0.3747259;10.756079334861354;0.50666994;0.5245032;5809.0;6229.0;0.5136;268.0;340.0;0.3418375;10.473093087768556;0.5114943;0.57051283;286.0;356.0
1;0.5533895;5976.0;4631.0;0.3525666;10.218768657644171;0.5602507;0.49680027;7243.0;5900.0;0.6224;294.0;178.0;0.3513179;9.928088061523438;0.6496063;0.52884614;448.0;330.0
2;0.7200421;3219.0;3430.0;0.2841479;9.586374828780325;0.716224;0.7289491;8444.0;8657.0;0.7672;95.0;196.0;0.21400462;9.265094859313965;0.72965515;0.8477564;430.0;529.0
3;0.7786526;2386.0;2871.0;0.24087161;8.983933178068462;0.7677372;0.7990906;9003.0;9490.0;0.7856;151.0;117.0;0.28570208;8.706859353637695;0.8016949;0.75801283;509.0;473.0
4;0.79545265;2192.0;2666.0;0.22472276;8.419633761114824;0.78412956;0.81542605;9208.0;9684.0;0.796;136.0;119.0;0.26038024;8.151236428833007;0.8039539;0.78205127;507.0;488.0
5;0.8115789;2023.0;2452.0;0.2090167;7.852370753800241;0.8007314;0.8296564;9422.0;9853.0;0.812;126.0;109.0;0.2413186;7.595953053283691;0.8204283;0.7980769;517.0;498.0
6;0.8185263;1972.0;2338.0;0.20519166;7.301755621819747;0.80901814;0.8339508;9536.0;9904.0;0.8208;102.0;122.0;0.22182298;7.057958323669434;0.81055903;0.83653843;504.0;522.0
7;0.8244631;1921.0;2248.0;0.19914545;6.755975502174779;0.815783;0.8382452;9626.0;9955.0;0.8424;107.0;90.0;0.23459359;6.504118220520019;0.8517298;0.82852566;536.0;517.0
8;0.8303579;1849.0;2180.0;0.19205427;6.216549535891884;0.82141393;0.84430784;9694.0;10027.0;0.8264;73.0;144.0;0.18225825;5.985094445037841;0.79280573;0.88301283;482.0;551.0
9;0.8295158;1845.0;2204.0;0.19207966;5.699501269892642;0.81986105;0.84464467;9670.0;10031.0;0.8296;137.0;76.0;0.27960578;5.491105058288574;0.8650089;0.78044873;550.0;487.0
10;0.83469474;1785.0;2141.0;0.18737063;5.192096022354929;0.8249673;0.8496969;9733.0;10091.0;0.8192;85.0;141.0;0.18443799;4.991416776275635;0.79264706;0.86378205;485.0;539.0
11;0.83646315;1769.0;2115.0;0.18528068;4.712718163138942;0.8269514;0.8510441;9759.0;10107.0;0.816;74.0;156.0;0.16158427;4.51625380859375;0.7790368;0.88141024;470.0;550.0
12;0.8392842;1737.0;2080.0;0.18339242;4.255021230155544;0.8297733;0.8537386;9794.0;10139.0;0.8304;96.0;116.0;0.2051774;4.079879019927978;0.8198758;0.84615386;510.0;528.0
13;0.84282106;1704.0;2029.0;0.17963026;3.824063961791992;0.83370215;0.8565174;9845.0;10172.0;0.8432;82.0;114.0;0.19254766;3.6595067878723144;0.8262195;0.86858976;512.0;542.0
14;0.8405474;1737.0;2050.0;0.18183768;3.4338972270764803;0.8318156;0.8537386;9824.0;10139.0;0.8448;104.0;90.0;0.23101114;3.276794644165039;0.852459;0.8333333;536.0;520.0
15;0.84581053;1693.0;1969.0;0.17831011;3.067638010105334;0.83796906;0.8574436;9905.0;10183.0;0.8368;99.0;105.0;0.21289639;2.9387989433288575;0.8333333;0.84134614;521.0;525.0
16;0.84568423;1691.0;1974.0;0.17636293;2.6963613283860055;0.83765113;0.857612;9900.0;10185.0;0.8232;135.0;86.0;0.27274978;2.577327258300781;0.8504348;0.78365386;540.0;489.0
17;0.84829473;1650.0;1953.0;0.17633565;2.3475534913715563;0.839642;0.8610643;9921.0;10226.0;0.8408;91.0;108.0;0.20167458;2.2388980239868164;0.8315133;0.8541667;518.0;533.0
18;0.8478316;1664.0;1950.0;0.17492975;2.0645251740706594;0.8396645;0.85988545;9924.0;10212.0;0.8328;93.0;116.0;0.20367807;1.9984402244567872;0.82071096;0.85096157;510.0;531.0
19;0.8496;1646.0;1926.0;0.17275086;1.839380707449662;0.8415597;0.86140114;9948.0;10230.0;0.8264;106.0;111.0;0.22054397;1.8098501808166505;0.8235294;0.8301282;515.0;518.0
