epoch;acc;false_negatives;false_positives;kl;loss;precision;recall;true_negatives;true_positives;val_acc;val_false_negatives;val_false_positives;val_kl;val_loss;val_precision;val_recall;val_true_negatives;val_true_positives
0;0.50618947;6025.0;5703.0;2.2431648;0.9025657358269943;0.5064047;0.4926743;6171.0;5851.0;0.5232;309.0;287.0;1.9720695;0.754621648979187;0.5232558;0.5048077;339.0;315.0
1;0.5432421;5375.0;5473.0;1.6421394;0.7180853032915215;0.5429263;0.54740655;6401.0;6501.0;0.5744;271.0;261.0;1.4530967;0.6371122274398804;0.57491857;0.5657051;365.0;353.0
2;0.59621054;4830.0;4760.0;1.2736095;0.6096956359612314;0.59681517;0.5932974;7114.0;7046.0;0.6168;160.0;319.0;0.67816824;0.6395427010536194;0.5925926;0.74358976;307.0;464.0
3;0.6370105;4290.0;4331.0;1.0067185;0.5492006894713954;0.6365696;0.63876724;7543.0;7586.0;0.6072;296.0;195.0;1.2977767;0.5425442782402039;0.6271511;0.525641;431.0;328.0
4;0.6487158;4209.0;4134.0;0.91478604;0.5183430709713384;0.6496907;0.64558774;7740.0;7667.0;0.6384;208.0;244.0;0.8184027;0.5180865732192993;0.630303;0.6666667;382.0;416.0
5;0.6606316;3990.0;4070.0;0.84889793;0.49301425558140405;0.6595851;0.6640283;7804.0;7886.0;0.6264;279.0;188.0;1.3063979;0.5117529078483581;0.64727956;0.55288464;438.0;345.0
6;0.6676211;3889.0;4005.0;0.81804276;0.4790948686800505;0.66602737;0.67253286;7869.0;7987.0;0.6488;191.0;248.0;0.7439613;0.489023517036438;0.6358297;0.69391024;378.0;433.0
7;0.6808421;3767.0;3813.0;0.7563475;0.4617789548271581;0.68017113;0.68280566;8061.0;8109.0;0.6584;191.0;236.0;0.9258559;0.4644894783496857;0.6472347;0.69391024;390.0;433.0
8;0.69010526;3621.0;3739.0;0.7259691;0.44751811267451236;0.6882608;0.69509935;8135.0;8255.0;0.6592;186.0;240.0;0.66225386;0.4584374383926392;0.6460177;0.7019231;386.0;438.0
9;0.68357897;3681.0;3834.0;0.719518;0.44175585248344823;0.68127024;0.69004714;8040.0;8195.0;0.6664;218.0;199.0;0.85591316;0.4514647213459015;0.6710744;0.650641;427.0;406.0
10;0.69869477;3556.0;3600.0;0.68344885;0.4355701782527723;0.6979866;0.7005726;8274.0;8320.0;0.6512;218.0;218.0;0.8516509;0.44442817978858945;0.650641;0.650641;408.0;406.0
11;0.7012631;3474.0;3621.0;0.65990376;0.4189897195841137;0.69882727;0.7074773;8253.0;8402.0;0.6624;221.0;201.0;0.9364967;0.4520765697479248;0.66721857;0.6458333;425.0;403.0
12;0.7046737;3499.0;3515.0;0.6739308;0.4097633120135257;0.7044231;0.70537215;8359.0;8377.0;0.6704;197.0;215.0;0.7297019;0.44583316922187805;0.66510904;0.6842949;411.0;427.0
13;0.70833683;3361.0;3566.0;0.6410492;0.40155194819099027;0.70482576;0.71699226;8308.0;8515.0;0.6672;197.0;219.0;0.75683933;0.44126877493858335;0.6609907;0.6842949;407.0;427.0
14;0.7107369;3439.0;3431.0;0.6407836;0.3954021789877038;0.7109033;0.71042436;8443.0;8437.0;0.6632;206.0;215.0;0.86129844;0.42762535705566407;0.6603476;0.6698718;411.0;418.0
15;0.70993686;3465.0;3424.0;0.6311389;0.38815495650642795;0.71068865;0.7082351;8450.0;8411.0;0.6392;244.0;207.0;0.9227881;0.4417783634662628;0.64735943;0.60897434;419.0;380.0
16;0.7184;3256.0;3432.0;0.585184;0.3791689279606468;0.715234;0.7258336;8442.0;8620.0;0.6368;256.0;198.0;1.1576332;0.44663560070991515;0.6501767;0.5897436;428.0;368.0
17;0.7212632;3275.0;3345.0;0.5924754;0.37694870804987457;0.71998996;0.72423375;8529.0;8601.0;0.6848;214.0;180.0;1.0005026;0.44612944960594175;0.69491524;0.65705127;446.0;410.0
18;0.72021055;3272.0;3373.0;0.6048393;0.372735927802638;0.7183769;0.72448635;8501.0;8604.0;0.6776;192.0;211.0;0.7200334;0.43999722414016723;0.6718507;0.6923077;415.0;432.0
19;0.7265263;3184.0;3311.0;0.5645174;0.3630760991698817;0.72415227;0.7318963;8563.0;8692.0;0.6272;252.0;214.0;1.0721757;0.46070279569625855;0.6348123;0.59615386;412.0;372.0
