epoch;acc;false_negatives;false_positives;loss;precision;recall;true_negatives;true_positives;val_acc;val_false_negatives;val_false_positives;val_loss;val_precision;val_recall;val_true_negatives;val_true_positives
0;0.5130947;5849.0;5715.0;0.7102788471272117;0.51328564;0.5074941;6159.0;6027.0;0.5328;410.0;174.0;0.6951380338668823;0.5515464;0.3429487;452.0;214.0
1;0.59949476;5000.0;4512.0;0.6610268646290428;0.60379344;0.57898283;7362.0;6876.0;0.6816;164.0;234.0;0.5971892612457276;0.6628242;0.73717946;392.0;460.0
2;0.6894737;3649.0;3726.0;0.5948801843843962;0.6882791;0.6927417;8148.0;8227.0;0.7088;244.0;120.0;0.5873332279205322;0.76;0.60897434;506.0;380.0
3;0.7121684;3409.0;3427.0;0.5706478187912389;0.7118715;0.71295047;8447.0;8467.0;0.7064;255.0;112.0;0.5846734656333923;0.7671518;0.59134614;514.0;369.0
4;0.72117895;3241.0;3381.0;0.5574750859009592;0.7186252;0.7270967;8493.0;8635.0;0.7184;144.0;208.0;0.5673577826976776;0.6976744;0.7692308;418.0;480.0
5;0.7333895;3105.0;3227.0;0.5380911305904389;0.7310385;0.73854834;8647.0;8771.0;0.704;73.0;297.0;0.5887782345771789;0.6497642;0.88301283;329.0;551.0
6;0.73570526;3085.0;3192.0;0.5358060195621691;0.7336226;0.7402324;8682.0;8791.0;0.7344;128.0;204.0;0.5480181462287903;0.70857143;0.7948718;422.0;496.0
7;0.74517894;2944.0;3108.0;0.5224122587555333;0.74186045;0.75210506;8766.0;8932.0;0.7264;192.0;150.0;0.5311809907913208;0.742268;0.6923077;476.0;432.0
8;0.748;2906.0;3079.0;0.5212100759154872;0.7444601;0.7553048;8795.0;8970.0;0.7408;173.0;151.0;0.5305875318527221;0.7491694;0.7227564;475.0;451.0
9;0.74551576;2964.0;3080.0;0.5176070234499479;0.7431621;0.750421;8794.0;8912.0;0.7496;146.0;167.0;0.5232928925514221;0.7410853;0.76602566;459.0;478.0
10;0.7568842;2814.0;2960.0;0.5083876888024179;0.7537847;0.7630515;8914.0;9062.0;0.76;157.0;143.0;0.5135866156578064;0.7655738;0.7483974;483.0;467.0
11;0.7610105;2747.0;2929.0;0.5027544953848186;0.75709075;0.76869315;8945.0;9129.0;0.7592;127.0;174.0;0.5219624619960785;0.7406855;0.79647434;452.0;497.0
12;0.76063156;2726.0;2959.0;0.5033570031166077;0.7556363;0.77046144;8915.0;9150.0;0.7488;174.0;140.0;0.5185225277900696;0.7627119;0.72115386;486.0;450.0
13;0.7618526;2727.0;2929.0;0.4990568226337433;0.75749296;0.7703772;8945.0;9149.0;0.7648;158.0;136.0;0.5185822853088379;0.77408636;0.7467949;490.0;466.0
14;0.7615158;2718.0;2946.0;0.49895460645776046;0.7566094;0.7711351;8928.0;9158.0;0.7544;176.0;131.0;0.5211746706962586;0.77374786;0.71794873;495.0;448.0
15;0.7656;2670.0;2897.0;0.4946929898111444;0.7606379;0.7751768;8977.0;9206.0;0.7432;95.0;226.0;0.5347794775009155;0.70066226;0.8477564;400.0;529.0
16;0.7657263;2637.0;2927.0;0.4914530461336437;0.75941145;0.77795553;8947.0;9239.0;0.7696;177.0;111.0;0.4906935631752014;0.8010753;0.71634614;515.0;447.0
17;0.77006316;2600.0;2861.0;0.4876050447313409;0.76427454;0.78107107;9013.0;9276.0;0.76;168.0;132.0;0.5101052546024323;0.7755102;0.7307692;494.0;456.0
18;0.7729684;2581.0;2811.0;0.48017244454434044;0.7678011;0.7826709;9063.0;9295.0;0.78;147.0;128.0;0.4924688961029053;0.78842974;0.7644231;498.0;477.0
19;0.7752;2546.0;2793.0;0.4805945112780521;0.7696115;0.78561807;9081.0;9330.0;0.7696;123.0;165.0;0.502606895160675;0.7522523;0.80288464;461.0;501.0
