epoch;acc;false_negatives;false_positives;kl;loss;precision;recall;true_negatives;true_positives;val_acc;val_false_negatives;val_false_positives;val_kl;val_loss;val_precision;val_recall;val_true_negatives;val_true_positives
0;0.6791158;4005.0;3616.0;0.30149248;1.2965809342785886;0.6852094;0.66276526;8258.0;7871.0;0.7648;192.0;102.0;0.31141436;0.8220810770988465;0.80898875;0.6923077;524.0;432.0
1;0.7734316;2554.0;2827.0;0.24490479;0.7272552595540097;0.76730597;0.7849444;9047.0;9322.0;0.7872;151.0;115.0;0.28168216;0.677257608795166;0.8044218;0.75801283;511.0;473.0
2;0.7872421;2384.0;2669.0;0.23505464;0.6383494204772147;0.7805279;0.799259;9205.0;9492.0;0.7784;207.0;70.0;0.35806862;0.6606021520614624;0.85626286;0.6682692;556.0;417.0
3;0.79818946;2227.0;2566.0;0.22599728;0.5957869875707125;0.7899304;0.81247896;9308.0;9649.0;0.7952;137.0;119.0;0.26586;0.6037841655731201;0.80363035;0.78044873;507.0;487.0
4;0.8043789;2157.0;2489.0;0.21987075;0.5664112358043069;0.7961173;0.8183732;9385.0;9719.0;0.7696;57.0;231.0;0.14993042;0.6176382435798645;0.7105263;0.90865386;395.0;567.0
5;0.8061895;2129.0;2474.0;0.21798746;0.5497832716289319;0.7975616;0.82073087;9400.0;9747.0;0.7848;63.0;206.0;0.15584481;0.5895864924430847;0.7314211;0.89903843;420.0;561.0
6;0.8150316;2002.0;2391.0;0.2091193;0.5255588768682982;0.805055;0.8314247;9483.0;9874.0;0.7808;212.0;62.0;0.37334338;0.6031276337623597;0.8691983;0.6602564;564.0;412.0
7;0.81806314;1996.0;2325.0;0.20671423;0.5118893508359006;0.80950433;0.8319299;9549.0;9880.0;0.8056;76.0;167.0;0.18303354;0.5491822063446045;0.76643354;0.8782051;459.0;548.0
8;0.81650525;1984.0;2374.0;0.20632887;0.5077380520017524;0.80645686;0.8329404;9500.0;9892.0;0.816;104.0;126.0;0.22259375;0.5342113702774048;0.8049536;0.8333333;500.0;520.0
9;0.8162947;1979.0;2384.0;0.20495664;0.5037889948443363;0.805879;0.8333614;9490.0;9897.0;0.8064;168.0;74.0;0.31053507;0.5534365953445435;0.8603774;0.7307692;552.0;456.0
10;0.8222737;1976.0;2245.0;0.20471871;0.4914559637521443;0.81515026;0.833614;9629.0;9900.0;0.8016;69.0;179.0;0.16989747;0.5394846644878387;0.7561308;0.8894231;447.0;555.0
11;0.8255158;1910.0;2234.0;0.19820476;0.48040679385536594;0.81688523;0.8391714;9640.0;9966.0;0.8136;136.0;97.0;0.27343598;0.5336039387702942;0.83418804;0.78205127;529.0;488.0
12;0.8274105;1889.0;2210.0;0.19505997;0.47146118342249016;0.8188079;0.8409397;9664.0;9987.0;0.824;92.0;128.0;0.20889765;0.5180601330280304;0.8060606;0.8525641;498.0;532.0
13;0.8288421;1869.0;2196.0;0.19561853;0.4697688718745583;0.8200443;0.8426238;9678.0;10007.0;0.7912;56.0;205.0;0.14314707;0.5488188558578492;0.7347995;0.9102564;421.0;568.0
14;0.8249684;1940.0;2217.0;0.19742595;0.470540203014173;0.81757593;0.83664536;9657.0;9936.0;0.8232;104.0;117.0;0.2268553;0.5090790485858917;0.81632656;0.8333333;509.0;520.0
15;0.82665265;1893.0;2224.0;0.19545709;0.4667917379329079;0.81780946;0.8406029;9650.0;9983.0;0.8224;107.0;115.0;0.23356618;0.5125401121139527;0.818038;0.82852566;511.0;517.0
16;0.8343158;1820.0;2115.0;0.19012359;0.4535859447730215;0.8262263;0.8467497;9759.0;10056.0;0.8216;131.0;92.0;0.2709355;0.5157494046211243;0.84273505;0.7900641;534.0;493.0
17;0.8322526;1848.0;2136.0;0.19169767;0.45506786043016534;0.8243999;0.84439206;9738.0;10028.0;0.7992;178.0;73.0;0.33317572;0.5410215205192566;0.8593449;0.7147436;553.0;446.0
18;0.8358316;1821.0;2078.0;0.18796238;0.4467903646017376;0.82873154;0.84666556;9796.0;10055.0;0.8176;90.0;138.0;0.197425;0.5073393979549408;0.79464287;0.8557692;488.0;534.0
19;0.837221;1789.0;2077.0;0.18791303;0.44620702899631703;0.8292503;0.84936005;9797.0;10087.0;0.8216;92.0;131.0;0.20413655;0.503024555683136;0.8024133;0.8525641;495.0;532.0
